"measurementID","eventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementRemarks"
"PM2-T1_1_m15","PM2-T1","Nitrogen (CHEBI:25555) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1816.809645","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM2-T1_1_m16","PM2-T1","Carbon (CHEBI:27594) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","37630.03671","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM2-T1_1_m17","PM2-T1","Phosphorus (CHEBI:28659) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","71.17075481","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM2-T1_1_m18","PM2-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","17.75538473",NA,NA,"Calculated as percentage of carbon divided by percentage of nitrogen"
"PM2-T1_1_m19","PM2-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","205.0382433",NA,NA,"Calculated as percentage of carbon divided by percentage of phosphorus"
"PM2-T1_1_m20","PM2-T1","Ratio (SIO:001018) of percentage (SIO:001413) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","11.54794708",NA,NA,"Calculated as percentage of nitrogen divided by percentage of phosphorus"
"PM2-T1_1_m21","PM2-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","20.71215155",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of nitrogen"
"PM2-T1_1_m22","PM2-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","528.7289254",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of phosphorus"
"PM2-T1_1_m23","PM2-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","25.52747474",NA,NA,"Calculated as molar concentration of nitrogen divided by molar concentration of phosphorus"
"PM3-T1_1_m1","PM3-T1","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM3-T1_1_m2","PM3-T1","Liming process (AGRO:00000112) treatment (AGRO:00000322)","yes",NA,NA,NA
"PM3-T1_1_m3","PM3-T1","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.368186027","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m4","PM3-T1","Calcium (CHEBI:22984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","82.53965368","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m5","PM3-T1","Iron (CHEBI:18248) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.849477329","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m6","PM3-T1","Potassium (CHEBI:26216) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","238.2969796","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m7","PM3-T1","Magnesium (CHEBI:25107) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","82.86304697","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m8","PM3-T1","Manganese (CHEBI:18291) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.637015953","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m9","PM3-T1","Sulfur (CHEBI:26833) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","71.2268383","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m10","PM3-T1","Silicon (CHEBI:27573) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","6.534804988","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m11","PM3-T1","Zinc (CHEBI:27363) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.696385261","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m12","PM3-T1","Percentage (SIO:001413) of nitrogen (CHEBI:25555) in plant tissue (NCIT:C18945)","2.9045434","percent (UO:0000187)",NA,NA
"PM3-T1_1_m13","PM3-T1","Percentage (SIO:001413) of carbon (CHEBI:27594) in plant tissue (NCIT:C18945)","44.68723106","percent (UO:0000187)",NA,NA
"PM3-T1_1_m14","PM3-T1","Percentage (SIO:001413) of phosphorus (CHEBI:28659) in plant tissue (NCIT:C18945)","0.202708019","percent (UO:0000187)",NA,NA
"PM3-T1_1_m15","PM3-T1","Nitrogen (CHEBI:25555) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","2073.193005","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM3-T1_1_m16","PM3-T1","Carbon (CHEBI:27594) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","37208.35226","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM3-T1_1_m17","PM3-T1","Phosphorus (CHEBI:28659) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","65.45302527","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM3-T1_1_m18","PM3-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","15.38528605",NA,NA,"Calculated as percentage of carbon divided by percentage of nitrogen"
"PM3-T1_1_m19","PM3-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","220.4512245",NA,NA,"Calculated as percentage of carbon divided by percentage of phosphorus"
"PM3-T1_1_m20","PM3-T1","Ratio (SIO:001018) of percentage (SIO:001413) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","14.32870495",NA,NA,"Calculated as percentage of nitrogen divided by percentage of phosphorus"
"PM3-T1_1_m21","PM3-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","17.94736533",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of nitrogen"
"PM3-T1_1_m22","PM3-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","568.4741401",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of phosphorus"
"PM3-T1_1_m23","PM3-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","31.67451766",NA,NA,"Calculated as molar concentration of nitrogen divided by molar concentration of phosphorus"
"PM4-T1_1_m1","PM4-T1","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM4-T1_1_m2","PM4-T1","Liming process (AGRO:00000112) treatment (AGRO:00000322)","yes",NA,NA,NA
"PM4-T1_1_m3","PM4-T1","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.836290131","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m4","PM4-T1","Calcium (CHEBI:22984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","100.031468","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m5","PM4-T1","Iron (CHEBI:18248) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.818114586","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m6","PM4-T1","Potassium (CHEBI:26216) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","204.7699126","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m7","PM4-T1","Magnesium (CHEBI:25107) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","103.9219034","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
